model_name,pythonic_name,model_id,version,description,input_token_limit,output_token_limit,supported_generation_methods,rpm_free_tier,tpm_free_tier,rpd_free_tier
Embedding Gecko,embedding-gecko-001,models/embedding-gecko-001,001,Obtain a distributed representation of a text.,1024,1,"embedText, countTextTokens",N/A,N/A,N/A
Gemini 1.0 Pro Vision,gemini-1.0-pro-vision-latest,models/gemini-1.0-pro-vision-latest,001,"The original Gemini 1.0 Pro Vision model version which was optimized for image understanding. Gemini 1.0 Pro Vision was deprecated on July 12, 2024. Move to a newer Gemini version.",12288,4096,"generateContent, countTokens",N/A,N/A,N/A
Gemini 1.0 Pro Vision,gemini-pro-vision,models/gemini-pro-vision,001,"The original Gemini 1.0 Pro Vision model version which was optimized for image understanding. Gemini 1.0 Pro Vision was deprecated on July 12, 2024. Move to a newer Gemini version.",12288,4096,"generateContent, countTokens",N/A,N/A,N/A
Gemini 1.5 Pro Latest,gemini-1.5-pro-latest,models/gemini-1.5-pro-latest,001,"Alias that points to the most recent production (non-experimental) release of Gemini 1.5 Pro, our mid-size multimodal model that supports up to 2 million tokens.",2000000,8192,"generateContent, countTokens",N/A,N/A,N/A
Gemini 1.5 Pro 001,gemini-1.5-pro-001,models/gemini-1.5-pro-001,001,"Stable version of Gemini 1.5 Pro, our mid-size multimodal model that supports up to 2 million tokens, released in May of 2024.",2000000,8192,"generateContent, countTokens, createCachedContent",N/A,N/A,N/A
Gemini 1.5 Pro 002,gemini-1.5-pro-002,models/gemini-1.5-pro-002,002,"Stable version of Gemini 1.5 Pro, our mid-size multimodal model that supports up to 2 million tokens, released in September of 2024.",2000000,8192,"generateContent, countTokens, createCachedContent",N/A,N/A,N/A
Gemini 1.5 Pro,gemini-1.5-pro,models/gemini-1.5-pro,001,"Stable version of Gemini 1.5 Pro, our mid-size multimodal model that supports up to 2 million tokens, released in May of 2024.",2000000,8192,"generateContent, countTokens",N/A,N/A,N/A
Gemini 1.5 Flash Latest,gemini-1.5-flash-latest,models/gemini-1.5-flash-latest,001,"Alias that points to the most recent production (non-experimental) release of Gemini 1.5 Flash, our fast and versatile multimodal model for scaling across diverse tasks.",1000000,8192,"generateContent, countTokens",N/A,N/A,N/A
Gemini 1.5 Flash 001,gemini-1.5-flash-001,models/gemini-1.5-flash-001,001,"Stable version of Gemini 1.5 Flash, our fast and versatile multimodal model for scaling across diverse tasks, released in May of 2024.",1000000,8192,"generateContent, countTokens, createCachedContent",N/A,N/A,N/A
Gemini 1.5 Flash 001 Tuning,gemini-1.5-flash-001-tuning,models/gemini-1.5-flash-001-tuning,001,"Version of Gemini 1.5 Flash that supports tuning, our fast and versatile multimodal model for scaling across diverse tasks, released in May of 2024.",16384,8192,"generateContent, countTokens, createTunedModel",N/A,N/A,N/A
Gemini 1.5 Flash,gemini-1.5-flash,models/gemini-1.5-flash,001,"Alias that points to the most recent stable version of Gemini 1.5 Flash, our fast and versatile multimodal model for scaling across diverse tasks.",1000000,8192,"generateContent, countTokens",15,"250,000",500
Gemini 1.5 Flash 002,gemini-1.5-flash-002,models/gemini-1.5-flash-002,002,"Stable version of Gemini 1.5 Flash, our fast and versatile multimodal model for scaling across diverse tasks, released in September of 2024.",1000000,8192,"generateContent, countTokens, createCachedContent",N/A,N/A,N/A
Gemini 1.5 Flash-8B,gemini-1.5-flash-8b,models/gemini-1.5-flash-8b,001,"Stable version of Gemini 1.5 Flash-8B, our smallest and most cost effective Flash model, released in October of 2024.",1000000,8192,"createCachedContent, generateContent, countTokens",15,"250,000",500
Gemini 1.5 Flash-8B 001,gemini-1.5-flash-8b-001,models/gemini-1.5-flash-8b-001,001,"Stable version of Gemini 1.5 Flash-8B, our smallest and most cost effective Flash model, released in October of 2024.",1000000,8192,"createCachedContent, generateContent, countTokens",N/A,N/A,N/A
Gemini 1.5 Flash-8B Latest,gemini-1.5-flash-8b-latest,models/gemini-1.5-flash-8b-latest,001,"Alias that points to the most recent production (non-experimental) release of Gemini 1.5 Flash-8B, our smallest and most cost effective Flash model, released in October of 2024.",1000000,8192,"createCachedContent, generateContent, countTokens",N/A,N/A,N/A
Gemini 1.5 Flash 8B Experimental 0827,gemini-1.5-flash-8b-exp-0827,models/gemini-1.5-flash-8b-exp-0827,001,"Experimental release (August 27th, 2024) of Gemini 1.5 Flash-8B, our smallest and most cost effective Flash model. Replaced by Gemini-1.5-flash-8b-001 (stable).",1000000,8192,"generateContent, countTokens",N/A,N/A,N/A
Gemini 1.5 Flash 8B Experimental 0924,gemini-1.5-flash-8b-exp-0924,models/gemini-1.5-flash-8b-exp-0924,001,"Experimental release (September 24th, 2024) of Gemini 1.5 Flash-8B, our smallest and most cost effective Flash model. Replaced by Gemini-1.5-flash-8b-001 (stable).",1000000,8192,"generateContent, countTokens",N/A,N/A,N/A
Gemini 2.5 Pro Experimental 03-25,gemini-2.5-pro-exp-03-25,models/gemini-2.5-pro-exp-03-25,2.5-exp-03-25,"Experimental release (March 25th, 2025) of Gemini 2.5 Pro",1048576,65536,"generateContent, countTokens, createCachedContent, batchGenerateContent",5,"250,000",25
Gemini 2.5 Pro Preview 03-25,gemini-2.5-pro-preview-03-25,models/gemini-2.5-pro-preview-03-25,2.5-preview-03-25,Gemini 2.5 Pro Preview 03-25,1048576,65536,"generateContent, countTokens, createCachedContent, batchGenerateContent",N/A,N/A,N/A
Gemini 2.5 Flash Preview 04-17,gemini-2.5-flash-preview-04-17,models/gemini-2.5-flash-preview-04-17,2.5-preview-04-17,"Preview release (April 17th, 2025) of Gemini 2.5 Flash",1048576,65536,"generateContent, countTokens, createCachedContent, batchGenerateContent",N/A,N/A,N/A
Gemini 2.5 Flash Preview 05-20,gemini-2.5-flash-preview-05-20,models/gemini-2.5-flash-preview-05-20,2.5-preview-05-20,"Preview release (April 17th, 2025) of Gemini 2.5 Flash",1048576,65536,"generateContent, countTokens, createCachedContent, batchGenerateContent",N/A,N/A,N/A
Gemini 2.5 Flash Preview 04-17 for cursor testing,gemini-2.5-flash-preview-04-17-thinking,models/gemini-2.5-flash-preview-04-17-thinking,2.5-preview-04-17,"Preview release (April 17th, 2025) of Gemini 2.5 Flash",1048576,65536,"generateContent, countTokens, createCachedContent, batchGenerateContent",N/A,N/A,N/A
Gemini 2.5 Pro Preview 05-06,gemini-2.5-pro-preview-05-06,models/gemini-2.5-pro-preview-05-06,2.5-preview-05-06,"Preview release (May 6th, 2025) of Gemini 2.5 Pro",1048576,65536,"generateContent, countTokens, createCachedContent, batchGenerateContent",N/A,N/A,N/A
Gemini 2.0 Flash Experimental,gemini-2.0-flash-exp,models/gemini-2.0-flash-exp,2.0,Gemini 2.0 Flash Experimental,1048576,8192,"generateContent, countTokens, bidiGenerateContent",10,"1,000,000","1,000"
Gemini 2.0 Flash,gemini-2.0-flash,models/gemini-2.0-flash,2.0,Gemini 2.0 Flash,1048576,8192,"generateContent, countTokens, createCachedContent, batchGenerateContent",15,"1,000,000","1,500"
Gemini 2.0 Flash 001,gemini-2.0-flash-001,models/gemini-2.0-flash-001,2.0,"Stable version of Gemini 2.0 Flash, our fast and versatile multimodal model for scaling across diverse tasks, released in January of 2025.",1048576,8192,"generateContent, countTokens, createCachedContent, batchGenerateContent",N/A,N/A,N/A
Gemini 2.0 Flash-Lite 001,gemini-2.0-flash-lite-001,models/gemini-2.0-flash-lite-001,2.0,Stable version of Gemini 2.0 Flash Lite,1048576,8192,"generateContent, countTokens, createCachedContent, batchGenerateContent",N/A,N/A,N/A
Gemini 2.0 Flash-Lite,gemini-2.0-flash-lite,models/gemini-2.0-flash-lite,2.0,Gemini 2.0 Flash-Lite,1048576,8192,"generateContent, countTokens, createCachedContent, batchGenerateContent",30,"1,000,000","1,500"
Gemini 2.0 Flash-Lite Preview 02-05,gemini-2.0-flash-lite-preview-02-05,models/gemini-2.0-flash-lite-preview-02-05,preview-02-05,"Preview release (February 5th, 2025) of Gemini 2.0 Flash Lite",1048576,8192,"generateContent, countTokens, createCachedContent, batchGenerateContent",N/A,N/A,N/A
Gemini 2.0 Flash-Lite Preview,gemini-2.0-flash-lite-preview,models/gemini-2.0-flash-lite-preview,preview-02-05,"Preview release (February 5th, 2025) of Gemini 2.0 Flash Lite",1048576,8192,"generateContent, countTokens, createCachedContent, batchGenerateContent",N/A,N/A,N/A
Gemini 2.0 Pro Experimental,gemini-2.0-pro-exp,models/gemini-2.0-pro-exp,2.5-exp-03-25,"Experimental release (March 25th, 2025) of Gemini 2.5 Pro",1048576,65536,"generateContent, countTokens, createCachedContent, batchGenerateContent",N/A,N/A,N/A
Gemini 2.0 Pro Experimental 02-05,gemini-2.0-pro-exp-02-05,models/gemini-2.0-pro-exp-02-05,2.5-exp-03-25,"Experimental release (March 25th, 2025) of Gemini 2.5 Pro",1048576,65536,"generateContent, countTokens, createCachedContent, batchGenerateContent",N/A,N/A,N/A
Gemini Experimental 1206,gemini-exp-1206,models/gemini-exp-1206,2.5-exp-03-25,"Experimental release (March 25th, 2025) of Gemini 2.5 Pro",1048576,65536,"generateContent, countTokens, createCachedContent, batchGenerateContent",N/A,N/A,N/A
Gemini 2.5 Flash Preview 04-17,gemini-2.0-flash-thinking-exp-01-21,models/gemini-2.0-flash-thinking-exp-01-21,2.5-preview-04-17,"Preview release (April 17th, 2025) of Gemini 2.5 Flash",1048576,65536,"generateContent, countTokens, createCachedContent, batchGenerateContent",N/A,N/A,N/A
Gemini 2.5 Flash Preview 04-17,gemini-2.0-flash-thinking-exp,models/gemini-2.0-flash-thinking-exp,2.5-preview-04-17,"Preview release (April 17th, 2025) of Gemini 2.5 Flash",1048576,65536,"generateContent, countTokens, createCachedContent, batchGenerateContent",N/A,N/A,N/A
Gemini 2.5 Flash Preview 04-17,gemini-2.0-flash-thinking-exp-1219,models/gemini-2.0-flash-thinking-exp-1219,2.5-preview-04-17,"Preview release (April 17th, 2025) of Gemini 2.5 Flash",1048576,65536,"generateContent, countTokens, createCachedContent, batchGenerateContent",N/A,N/A,N/A
Gemini 2.5 Flash Preview TTS,gemini-2.5-flash-preview-tts,models/gemini-2.5-flash-preview-tts,gemini-2.5-flash-exp-tts-2025-05-19,Gemini 2.5 Flash Preview TTS,32768,8192,"countTokens, generateContent",3,"10,000",15
Gemini 2.5 Pro Preview TTS,gemini-2.5-pro-preview-tts,models/gemini-2.5-pro-preview-tts,gemini-2.5-pro-preview-tts-2025-05-19,Gemini 2.5 Pro Preview TTS,65536,65536,"countTokens, generateContent",N/A,N/A,N/A
LearnLM 2.0 Flash Experimental,learnlm-2.0-flash-experimental,models/learnlm-2.0-flash-experimental,2.0,LearnLM 2.0 Flash Experimental,1048576,32768,"generateContent, countTokens",N/A,N/A,N/A
Gemma 3 1B,gemma-3-1b-it,models/gemma-3-1b-it,001,,32768,8192,"generateContent, countTokens",N/A,N/A,N/A
Gemma 3 4B,gemma-3-4b-it,models/gemma-3-4b-it,001,,32768,8192,"generateContent, countTokens",N/A,N/A,N/A
Gemma 3 12B,gemma-3-12b-it,models/gemma-3-12b-it,001,,32768,8192,"generateContent, countTokens",N/A,N/A,N/A
Gemma 3 27B,gemma-3-27b-it,models/gemma-3-27b-it,001,,131072,8192,"generateContent, countTokens",N/A,N/A,N/A
Gemma 3n E4B,gemma-3n-e4b-it,models/gemma-3n-e4b-it,001,,8192,2048,"generateContent, countTokens",N/A,N/A,N/A
Embedding 001,embedding-001,models/embedding-001,001,Obtain a distributed representation of a text.,2048,1,embedContent,N/A,N/A,N/A
Text Embedding 004,text-embedding-004,models/text-embedding-004,004,Obtain a distributed representation of a text.,2048,1,embedContent,N/A,N/A,N/A
Gemini Embedding Experimental 03-07,gemini-embedding-exp-03-07,models/gemini-embedding-exp-03-07,exp-03-07,Obtain a distributed representation of a text.,8192,1,"embedContent, countTextTokens",5,N/A,100
Gemini Embedding Experimental,gemini-embedding-exp,models/gemini-embedding-exp,exp-03-07,Obtain a distributed representation of a text.,8192,1,"embedContent, countTextTokens",N/A,N/A,N/A
Model that performs Attributed Question Answering.,aqa,models/aqa,001,"Model trained to return answers to questions that are grounded in provided sources, along with estimating answerable probability.",7168,1024,generateAnswer,N/A,N/A,N/A
Imagen 3.0 002 model,imagen-3.0-generate-002,models/imagen-3.0-generate-002,002,Vertex served Imagen 3.0 002 model,480,8192,predict,N/A,N/A,N/A
Veo 2,veo-2.0-generate-001,models/veo-2.0-generate-001,2.0,Vertex served Veo 2 model. Access to this model requires billing to be enabled on the associated Google Cloud Platform account. Please visit https://console.cloud.google.com/billing to enable it.,480,8192,predictLongRunning,N/A,N/A,N/A
Gemini 2.5 Flash Preview Native Audio Dialog,gemini-2.5-flash-preview-native-audio-dialog,models/gemini-2.5-flash-preview-native-audio-dialog,gemini-2.5-flash-preview-native-audio-dialog-2025-05-19,Gemini 2.5 Flash Preview Native Audio Dialog,131072,8192,"countTokens, bidiGenerateContent",N/A,N/A,N/A
Gemini 2.5 Flash Preview Native Audio Dialog RAI v3,gemini-2.5-flash-preview-native-audio-dialog-rai-v3,models/gemini-2.5-flash-preview-native-audio-dialog-rai-v3,gemini-2.5-flash-preview-native-audio-dialog-2025-05-19,Gemini 2.5 Flash Preview Native Audio Dialog RAI v3,131072,8192,"countTokens, bidiGenerateContent",N/A,N/A,N/A
Gemini 2.5 Flash Exp Native Audio Thinking Dialog,gemini-2.5-flash-exp-native-audio-thinking-dialog,models/gemini-2.5-flash-exp-native-audio-thinking-dialog,gemini-2.5-flash-exp-native-audio-thinking-dialog-2025-05-19,Gemini 2.5 Flash Exp Native Audio Thinking Dialog,131072,8192,"countTokens, bidiGenerateContent",N/A,N/A,N/A
Gemini 2.0 Flash 001,gemini-2.0-flash-live-001,models/gemini-2.0-flash-live-001,001,Gemini 2.0 Flash 001,131072,8192,"bidiGenerateContent, countTokens",N/A,N/A,N/A
